accession	model_name	marker_id	domain	name	length	published_single_copy_bac120	published_ubiquity_bac120	published_single_copy_ar53	published_ubiquity_ar53	sets	ubiquity_bac	ubiquity_ar	ubiquity_pat	ubiquity_dpann	single_copy_bac	single_copy_ar	single_copy_pat	single_copy_dpann
TIGR02389	RNA_pol_rpoA2	TIGR_TIGR02389	ar53	RNA_pol_rpoA2	367			68.98	69.42	dpann	0.0000	0.7181	0.0040	0.9000	1.0000	1.0000	1.0000	0.9963
TIGR00250	RNAse_H_YqgF	TIGR_TIGR00250	bac120	RNAse_H_YqgF	130	87.57	88.17			bac	0.8688	0.0000	0.7335	0.0000	0.9928	1.0000	0.9973	1.0000
TIGR02191	RNaseIII	TIGR_TIGR02191	bac120	RNaseIII	219	85.40	86.56			bac,pat	0.9125	0.0067	0.9739	0.0000	0.9863	1.0000	0.9835	1.0000
PF00687	Ribosomal_L1	PFAM_PF00687.22	ar53	Ribosomal_L1	204			91.04	92.28	ar,dpann	0.0083	0.9866	0.1062	0.9633	0.7500	0.9864	1.0000	0.9758
PF00466	Ribosomal_L10	PFAM_PF00466.21	bac120,ar53	Ribosomal_L10	100	84.75	85.53	90.60	91.35	bac,ar,pat,dpann	0.9521	0.9832	0.9339	0.9600	0.9956	0.9863	0.9893	0.9861
PF00827	Ribosomal_L15e	PFAM_PF00827.18	ar53	Ribosomal_L15e	189			89.91	92.28	ar,dpann	0.0042	0.9664	0.0000	0.9767	1.0000	0.9826	1.0000	0.9829
PF01280	Ribosomal_L19e	PFAM_PF01280.21	ar53	Ribosomal_L19e	144			92.02	93.00	ar,dpann	0.0021	0.9966	0.0020	1.0000	1.0000	0.9899	1.0000	0.9900
PF01090	Ribosomal_S19e	PFAM_PF01090.20	ar53	Ribosomal_S19e	137			91.71	92.51	ar,dpann	0.0021	0.9732	0.0040	0.9800	1.0000	0.9862	1.0000	0.9898
PF01200	Ribosomal_S28e	PFAM_PF01200.19	ar53	Ribosomal_S28e	64			92.22	92.78	ar,dpann	0.0021	0.9732	0.0000	0.9900	1.0000	0.9966	1.0000	0.9933
PF01015	Ribosomal_S3Ae	PFAM_PF01015.19	ar53	Ribosomal_S3Ae	195			90.43	91.82	ar,dpann	0.0021	0.9799	0.0040	0.9833	1.0000	0.9795	1.0000	0.9966
PF00900	Ribosomal_S4e	PFAM_PF00900.21	ar53	Ribosomal_S4e	75			90.60	91.08	ar,dpann	0.0000	0.9899	0.0040	0.9767	1.0000	0.9864	1.0000	0.9966
PF00410	Ribosomal_S8	PFAM_PF00410.20	bac120,ar53	Ribosomal_S8	126	85.84	86.95	91.95	92.79	bac,ar,pat,dpann	0.9667	0.9899	0.9880	1.0000	0.9935	0.9898	0.9919	0.9933
PF00380	Ribosomal_S9	PFAM_PF00380.20	bac120	Ribosomal_S9	121	91.47	92.77			bac,pat	0.9771	0.1174	0.9820	0.5367	0.9808	0.9714	0.9918	1.0000
TIGR00029	S20	TIGR_TIGR00029	bac120	S20	87	91.22	91.84			bac,pat	0.9437	0.0101	0.9078	0.0000	0.9912	1.0000	0.9868	1.0000
TIGR00166	S6	TIGR_TIGR00166	bac120	S6	95	91.66	92.65			bac,pat	0.9729	0.0000	0.9038	0.0067	0.9914	1.0000	1.0000	1.0000
PF02616	SMC_ScpA	PF02616.20		SMC_ScpA						dpann	0.7729	0.5034	0.4689	0.9533	0.9973	0.9933	0.9786	0.9965
PF04079	SMC_ScpB	PF04079.23		SMC_ScpB						dpann	0.7708	0.6611	0.4729	0.9600	0.9838	0.9543	0.9915	0.9792
TIGR03723	T6A_TsaD_YgjD	TIGR_TIGR03723	bac120	T6A_TsaD_YgjD	314	90.48	91.28			bac,pat	0.9750	0.0000	0.9259	0.0000	0.9808	1.0000	0.9784	1.0000
TIGR03725	T6A_YeaZ	TIGR_TIGR03725	bac120	T6A_YeaZ	212	84.85	85.37			bac	0.9229	0.0134	0.2585	0.0100	0.9955	1.0000	1.0000	1.0000
TIGR00006	TIGR00006	TIGR_TIGR00006	bac120	TIGR00006	310	90.94	95.08			bac,pat	0.9896	0.0000	0.9719	0.0000	0.9621	1.0000	0.9835	1.0000
TIGR00043	TIGR00043	TIGR_TIGR00043	bac120	TIGR00043	111	90.17	90.88			bac	0.9583	0.0000	0.8076	0.0033	0.9913	1.0000	0.9801	1.0000
TIGR00054	TIGR00054	TIGR_TIGR00054	bac120	TIGR00054	421	89.74	94.52			bac,pat	0.9667	0.0034	0.9639	0.0033	0.9784	1.0000	0.9813	1.0000
TIGR00092	TIGR00092	TIGR_TIGR00092	bac120	TIGR00092	368	88.94	91.00			bac,pat	0.8854	0.0034	0.9319	0.0033	0.9671	1.0000	0.9785	1.0000
TIGR00095	TIGR00095	TIGR_TIGR00095	bac120	TIGR00095	194	86.08	87.06			bac	0.9187	0.0067	0.1743	0.0000	0.9955	1.0000	1.0000	1.0000
PF20768	Topo_VI_alpha	PF20768.3		Topo_VI_alpha						dpann	0.0417	0.5872	0.0020	0.8600	0.9500	1.0000	1.0000	1.0000
PF26593	TraC-like	PF26593.2		TraC-like						pat	0.0187	0.0302	0.9138	0.0567	1.0000	0.5556	0.9649	0.8824
TIGR00431	TruB	TIGR_TIGR00431	bac120	TruB	210	89.44	91.00			bac	0.9667	0.6477	0.5391	0.8200	0.9914	0.9948	0.9219	0.9959
TIGR00491	aIF-2	TIGR_TIGR00491	ar53	aIF-2	594			91.17	91.54	ar,dpann	0.0000	0.9899	0.0000	0.9867	1.0000	1.0000	1.0000	0.9899
TIGR03676	aRF1_eRF1	TIGR_TIGR03676	ar53	aRF1/eRF1	403			87.49	92.48	ar,dpann	0.0000	0.9799	0.0000	0.9533	1.0000	0.9760	1.0000	0.9825
TIGR00344	alaS	TIGR_TIGR00344	bac120	alaS	847	90.36	91.77			bac,pat	0.9708	0.9765	0.9499	0.9467	0.9614	0.9863	0.9958	0.9859
TIGR03628	arch_S11P	TIGR_TIGR03628	ar53	arch_S11P	117			61.59	61.87	ar	0.0000	0.8859	0.0000	0.5633	1.0000	0.9962	1.0000	1.0000
TIGR00456	argS	TIGR_TIGR00456	bac120	argS	569	90.11	93.13			bac,pat	0.9896	0.9732	0.9679	0.9700	0.9558	0.9862	0.9648	0.9794
TIGR00459	aspS_bact	TIGR_TIGR00459	bac120	aspS_bact	586	84.73	88.80			bac	0.9542	0.0570	0.6854	0.5167	0.9651	0.9412	0.9854	0.9613
TIGR01039	atpD	TIGR_TIGR01039	bac120	atpD	462	76.01	80.70			bac	0.8688	0.0034	0.5411	0.0000	0.9089	1.0000	0.7889	1.0000
TIGR03671	cca_archaeal	TIGR_TIGR03671	ar53	cca_archaeal	410			86.10	86.88	ar,dpann	0.0000	0.9564	0.0000	0.9533	1.0000	0.9895	1.0000	1.0000
TIGR00382	clpX	TIGR_TIGR00382	bac120	clpX	414	74.82	83.82			bac	0.9229	0.0000	0.0100	0.0067	0.8646	1.0000	0.8000	1.0000
TIGR01510	coaD_prev_kdtB	TIGR_TIGR01510	bac120	coaD_prev_kdtB	155	84.77	86.36			bac	0.9375	0.0000	0.0261	0.2000	0.9800	1.0000	1.0000	0.9833
NF045971	conju_CD1110	NF045971.1		conju_CD1110						pat	0.0187	0.0034	0.9479	0.1033	0.6667	1.0000	0.9450	0.8065
TIGR00435	cysS	TIGR_TIGR00435	bac120	cysS	466	87.15	92.45			bac,pat	0.9750	0.8188	0.9539	0.9500	0.9103	0.8238	0.9832	0.9474
TIGR01391	dnaG	TIGR_TIGR01391	bac120	dnaG	414	88.49	94.33			bac,pat	0.9771	0.0000	0.9459	0.0133	0.9765	1.0000	0.9809	1.0000
TIGR02397	dnaX_nterm	TIGR_TIGR02397	bac120	dnaX_nterm	355	90.08	92.80			bac,pat	0.9708	0.0101	0.9479	0.0100	0.9742	1.0000	0.9767	1.0000
TIGR00663	dnan	TIGR_TIGR00663	bac120	dnan	367	87.99	91.65			bac,pat	0.9604	0.0000	0.9559	0.0033	0.9610	1.0000	0.9686	1.0000
TIGR00522	dph5	TIGR_TIGR00522	ar53	dph5	258			83.37	83.91	ar,dpann	0.0000	0.8926	0.0000	0.9267	1.0000	0.9925	1.0000	0.9856
TIGR00323	eIF-6	TIGR_TIGR00323	ar53	eIF-6	215			74.86	75.13	ar	0.0000	0.9664	0.0000	0.5500	1.0000	0.9965	1.0000	1.0000
TIGR00037	eIF_5A	TIGR_TIGR00037	ar53	eIF_5A	130			91.32	91.90	ar,dpann	0.0000	0.9698	0.0000	0.9867	1.0000	0.9862	1.0000	0.9966
TIGR03680	eif2g_arch	TIGR_TIGR03680	ar53	eif2g_arch	407			80.13	80.26	ar,dpann	0.0021	0.9698	0.0020	0.8767	1.0000	0.9931	1.0000	0.9962
TIGR03674	fen_arch	TIGR_TIGR03674	ar53	fen_arch	338			80.83	84.12	ar,dpann	0.0000	0.9631	0.0000	0.9533	1.0000	0.8571	1.0000	0.9965
TIGR00959	ffh	TIGR_TIGR00959	bac120	ffh	428	82.16	82.45			bac	0.8917	0.0101	0.0000	0.0033	0.9930	1.0000	1.0000	1.0000
TIGR00460	fmt	TIGR_TIGR00460	bac120	fmt	315	89.13	90.02			bac	0.9271	0.0034	0.7174	0.0100	0.9865	1.0000	0.9916	1.0000
TIGR00496	frr	TIGR_TIGR00496	bac120	frr	176	94.11	94.65			bac,pat	0.9812	0.0000	0.9539	0.0000	0.9958	1.0000	1.0000	1.0000
TIGR00064	ftsY	TIGR_TIGR00064	bac120,ar53	ftsY	279	84.18	84.56	89.00	89.48	bac,ar,dpann	0.8979	0.9732	0.0000	0.9533	0.9907	0.9966	1.0000	1.0000
TIGR00065	ftsZ	TIGR_TIGR00065	bac120	ftsZ	353	83.84	90.08			bac,pat,dpann	0.9042	0.6611	0.9559	1.0000	0.9332	0.2437	0.9119	0.0333
TIGR00134	gatE_arch	TIGR_TIGR00134	ar53	gatE_arch	622			89.57	92.02	ar,dpann	0.0417	0.9698	0.0000	0.9733	1.0000	0.9550	1.0000	0.9829
TIGR02338	gimC_beta	TIGR_TIGR02338	ar53	gimC_beta	110			87.57	88.07	ar,dpann	0.0000	0.9564	0.0000	0.8700	1.0000	0.9965	1.0000	0.9923
TIGR03263	guanyl_kin	TIGR_TIGR03263	bac120	guanyl_kin	180	85.21	85.83			bac	0.9125	0.0000	0.1643	0.0167	0.9954	1.0000	0.9878	0.8000
TIGR01063	gyrA	TIGR_TIGR01063	bac120	gyrA	800	83.99	85.86			bac,pat	0.9667	0.4094	0.9319	0.6033	0.9267	0.9672	0.9871	0.9890
TIGR01059	gyrB	TIGR_TIGR01059	bac120	gyrB	639	82.80	86.13			bac,pat	0.9604	0.3859	0.9098	0.6067	0.9262	0.9913	0.9824	0.9780
TIGR00539	hemN_rel	TIGR_TIGR00539	bac120	hemN_rel	361	80.47	81.39			bac	0.8625	0.0134	0.0100	0.0000	0.9831	1.0000	1.0000	1.0000
TIGR00442	hisS	TIGR_TIGR00442	bac120	hisS	406	89.91	91.70			bac,pat	0.9812	0.9799	0.9679	0.9633	0.9682	0.9795	0.9317	0.9792
TIGR01128	holA	TIGR_TIGR01128	bac120	holA	314	86.02	86.96			bac	0.9333	0.0336	0.7615	0.0267	0.9844	1.0000	0.9763	1.0000
TIGR00392	ileS	TIGR_TIGR00392	bac120	ileS	861	87.03	88.30			bac,pat	0.9875	0.9799	0.9439	0.9800	0.9536	0.9555	0.9703	0.9728
TIGR00168	infC	TIGR_TIGR00168	bac120	infC	165	90.15	92.29			bac,pat	0.9667	0.0000	0.9539	0.0033	0.9828	1.0000	0.9916	1.0000
TIGR00755	ksgA	TIGR_TIGR00755	bac120	ksgA	256	90.76	91.22			bac	0.9750	0.8826	0.8257	0.3133	0.9893	1.0000	0.9854	0.9681
TIGR01393	lepA	TIGR_TIGR01393	bac120	lepA	595	89.12	93.09			bac,pat	0.9375	0.0034	0.9459	0.0033	0.9778	1.0000	0.9640	1.0000
TIGR00396	leuS_bact	TIGR_TIGR00396	bac120	leuS_bact	843	89.41	93.79			bac,pat	0.9854	0.0705	0.9679	0.4900	0.9577	0.9048	0.9731	0.9932
TIGR02432	lysidine_TilS_N	TIGR_TIGR02432	bac120	lysidine_TilS_N	189	85.76	87.64			bac	0.9708	0.0067	0.2184	0.0067	0.9871	1.0000	0.9817	1.0000
TIGR00398	metG	TIGR_TIGR00398	bac120	metG	530	89.47	93.25			bac,pat	0.9708	0.9732	0.9479	0.9767	0.9506	0.9724	0.9746	0.9795
TIGR00580	mfd	TIGR_TIGR00580	bac120	mfd	923	85.21	86.65			bac	0.9437	0.0000	0.2525	0.0033	0.9801	1.0000	0.9841	0.0000
TIGR00445	mraY	TIGR_TIGR00445	bac120	mraY	321	86.98	88.65			bac	0.9417	0.0034	0.5932	0.0000	0.9668	1.0000	0.9966	1.0000
TIGR01082	murC	TIGR_TIGR01082	bac120	murC	449	83.81	85.61			bac	0.9187	0.0034	0.6794	0.0033	0.9002	1.0000	0.9735	1.0000
TIGR01087	murD	TIGR_TIGR01087	bac120	murD	441	87.46	88.87			bac	0.9417	0.0000	0.7635	0.0067	0.9624	1.0000	0.9869	1.0000
TIGR01952	nusA_arch	TIGR_TIGR01952	ar53	nusA_arch	141			75.87	80.10	ar,dpann	0.0042	0.9530	0.0100	0.9033	1.0000	0.9754	1.0000	0.9963
TIGR01951	nusB	TIGR_TIGR01951	bac120	nusB	131	91.04	91.55			bac,pat	0.9604	0.0000	0.9579	0.0033	0.9761	1.0000	0.9979	1.0000
TIGR00922	nusG	TIGR_TIGR00922	bac120	nusG	172	83.29	83.89			bac,pat	0.9396	0.0000	0.9459	0.0000	0.9889	1.0000	1.0000	1.0000
TIGR00111	pelota	TIGR_TIGR00111	ar53	pelota	351			77.60	78.16	ar	0.0000	0.8658	0.0000	0.8467	1.0000	0.9922	1.0000	0.9882
TIGR00468	pheS	TIGR_TIGR00468	bac120	pheS	324	91.20	91.83			bac,pat	0.9854	0.9799	0.8918	0.9700	0.9979	0.9863	0.9753	0.9931
TIGR00472	pheT_bact	TIGR_TIGR00472	bac120	pheT_bact	798	89.95	91.14			bac,pat	0.9604	0.0168	0.8878	0.0333	0.9805	1.0000	0.9797	1.0000
TIGR00593	pola	TIGR_TIGR00593	bac120	pola	890	88.71	89.77			bac	0.9417	0.0034	0.6814	0.0000	0.9690	1.0000	0.9765	1.0000
TIGR00019	prfA	TIGR_TIGR00019	bac120	prfA	361	91.49	91.95			bac	0.9875	0.0000	0.6192	0.0033	0.9937	1.0000	0.9903	1.0000
TIGR00020	prfB	TIGR_TIGR00020	bac120	prfB	365	89.10	89.55			bac	0.9792	0.0034	0.7936	0.0000	0.9872	1.0000	0.9874	1.0000
TIGR00335	primase_sml	TIGR_TIGR00335	ar53	primase_sml	324			69.07	70.02	ar	0.0000	0.9631	0.0000	0.2400	1.0000	0.9930	1.0000	1.0000
TIGR02350	prok_dnaK	TIGR_TIGR02350	bac120	prok_dnaK	596	78.95	87.52			bac,pat	0.9458	0.6208	0.9519	0.6533	0.8877	0.9081	0.9811	0.9898
TIGR00928	purB	TIGR_TIGR00928	bac120	purB	436	77.13	78.70			bac	0.8708	0.8322	0.1142	0.2167	0.9761	0.9839	1.0000	0.9385
TIGR02075	pyrH_bact	TIGR_TIGR02075	bac120	pyrH_bact	233	86.42	87.56			bac	0.9396	0.0000	0.2385	0.0000	0.9911	1.0000	1.0000	1.0000
TIGR00082	rbfA	TIGR_TIGR00082	bac120	rbfA	115	88.80	89.34			bac	0.9667	0.0000	0.3567	0.0000	1.0000	1.0000	0.9944	1.0000
TIGR00643	recG	TIGR_TIGR00643	bac120	recG	629	85.97	86.49			pat	0.8104	0.0000	0.9319	0.0000	0.9897	1.0000	0.9914	1.0000
TIGR00615	recR	TIGR_TIGR00615	bac120	recR	196	91.44	92.08			bac,pat	0.9521	0.0034	0.9178	0.0000	0.9934	1.0000	0.9913	1.0000
TIGR02236	recomb_radA	TIGR_TIGR02236	ar53	recomb_radA	311			81.73	88.92	ar,dpann	0.0000	0.9597	0.0000	0.9633	1.0000	0.8077	1.0000	0.9896
TIGR00083	ribF	TIGR_TIGR00083	bac120	ribF	290	82.87	85.30			bac	0.9062	0.0000	0.0040	0.0033	0.9770	1.0000	1.0000	1.0000
TIGR03672	rpl4p_arch	TIGR_TIGR03672	ar53	rpl4p_arch	251			69.35	69.45	ar	0.0021	0.9664	0.0000	0.7133	1.0000	0.9861	1.0000	1.0000
TIGR01169	rplA_bact	TIGR_TIGR01169	bac120	rplA_bact	227	83.16	84.08			bac	0.9604	0.0000	0.5050	0.0000	0.9957	1.0000	0.9960	1.0000
TIGR01171	rplB_bact	TIGR_TIGR01171	bac120,ar53	rplB_bact	275	84.22	85.04	8.95	9.01	bac,pat	0.9646	0.0537	0.9880	0.0133	0.9978	1.0000	0.9878	1.0000
TIGR03953	rplD_bact	TIGR_TIGR03953	bac120	rplD_bact	188	84.15	84.80			bac,pat	0.9563	0.0000	0.9780	0.0000	0.9978	1.0000	0.9939	1.0000
TIGR01066	rplM_bact	TIGR_TIGR01066	bac120	rplM_bact	141	91.70	92.44			bac,pat	0.9708	0.0000	0.9860	0.0000	1.0000	1.0000	0.9959	1.0000
TIGR01071	rplO_bact	TIGR_TIGR01071	bac120	rplO_bact	144	87.62	88.42			bac,pat	0.9688	0.0000	0.9259	0.0000	0.9935	1.0000	0.9935	1.0000
TIGR01164	rplP_bact	TIGR_TIGR01164	bac120	rplP_bact	126	84.38	85.31			bac,pat	0.9688	0.0034	0.9840	0.0000	0.9914	1.0000	0.9939	1.0000
TIGR01032	rplT_bact	TIGR_TIGR01032	bac120	rplT_bact	114	91.89	92.76			bac,pat	0.9812	0.0000	0.9299	0.0000	0.9958	1.0000	0.9892	1.0000
TIGR01044	rplV_bact	TIGR_TIGR01044	bac120	rplV_bact	103	83.20	83.73			bac,pat	0.9646	0.0034	0.9279	0.0000	0.9978	1.0000	0.9892	1.0000
TIGR01079	rplX_bact	TIGR_TIGR01079	bac120	rplX_bact	104	84.85	85.51			bac,pat	0.9625	0.0034	0.9780	0.0100	0.9957	1.0000	0.9980	1.0000
TIGR02027	rpoA	TIGR_TIGR02027	bac120	rpoA	298	87.12	91.13			bac,pat	0.9708	0.0000	0.9780	0.0000	0.9957	1.0000	0.9980	1.0000
TIGR02013	rpoB	TIGR_TIGR02013	bac120	rpoB	1238	80.89	83.79			bac,pat	0.9563	0.0000	0.9539	0.0033	0.9717	1.0000	0.9916	1.0000
TIGR03670	rpoB_arch	TIGR_TIGR03670	ar53	rpoB_arch	599			81.61	82.07	ar,dpann	0.0000	0.9698	0.0020	0.9067	1.0000	0.9862	1.0000	0.9926
TIGR02386	rpoC_TIGR	TIGR_TIGR02386	bac120	rpoC_TIGR	1147	78.80	79.43			bac,pat	0.9417	0.0034	0.9679	0.0033	0.9646	1.0000	0.9793	1.0000
TIGR00448	rpoE	TIGR_TIGR00448	ar53	rpoE	179			92.08	92.48	ar,dpann	0.0000	0.9899	0.0000	0.9733	1.0000	0.9898	1.0000	0.9897
TIGR01011	rpsB_bact	TIGR_TIGR01011	bac120	rpsB_bact	225	91.23	93.30			bac,pat	0.9833	0.0000	0.9699	0.0000	0.9915	1.0000	0.9897	1.0000
TIGR01009	rpsC_bact	TIGR_TIGR01009	bac120	rpsC_bact	212	84.10	85.23			bac,pat	0.9688	0.0034	0.9840	0.0000	0.9978	1.0000	0.9898	1.0000
TIGR01017	rpsD_bact	TIGR_TIGR01017	bac120	rpsD_bact	200	88.01	90.69			bac,pat	0.9667	0.0000	0.9780	0.0000	0.9849	1.0000	0.9898	1.0000
TIGR01021	rpsE_bact	TIGR_TIGR01021	bac120	rpsE_bact	156	86.82	87.37			bac,pat	0.9750	0.0000	0.9539	0.0000	0.9936	1.0000	0.9979	1.0000
TIGR01029	rpsG_bact	TIGR_TIGR01029	bac120	rpsG_bact	154	83.70	84.42			bac,pat	0.9604	0.0000	0.9679	0.0033	0.9913	1.0000	0.9896	1.0000
TIGR00090	rsfS_iojap_ybeB	TIGR_TIGR00090	bac120	rsfS_iojap_ybeB	99	83.82	84.31			bac	0.9167	0.0000	0.0020	0.0000	0.9977	1.0000	1.0000	1.0000
TIGR00084	ruvA	TIGR_TIGR00084	bac120	ruvA	192	88.72	89.26			bac	0.9771	0.0403	0.8216	0.0033	0.9893	1.0000	0.9829	1.0000
TIGR00635	ruvB	TIGR_TIGR00635	bac120	ruvB	305	91.08	92.29			bac	0.9625	0.0302	0.8337	0.0033	0.9892	0.8889	0.9904	1.0000
TIGR00963	secA	TIGR_TIGR00963	bac120	secA	787	86.31	86.97			bac,pat	0.9750	0.0034	0.9459	0.0067	0.9658	1.0000	0.9873	0.5000
TIGR00964	secE_bact	TIGR_TIGR00964	bac120	secE_bact	57	81.58	82.27			bac	0.8854	0.0101	0.7475	0.0000	0.9953	1.0000	0.9973	1.0000
TIGR00810	secG	TIGR_TIGR00810	bac120	secG	73	91.29	92.02			bac	0.9375	0.0000	0.7796	0.0033	0.9933	1.0000	0.9923	1.0000
TIGR00414	serS	TIGR_TIGR00414	bac120	serS	418	90.26	92.21			bac,pat,dpann	0.9667	0.6443	0.9619	0.9433	0.9871	0.9948	0.9833	0.9788
TIGR00086	smpB	TIGR_TIGR00086	bac120	smpB	144	90.96	92.11			bac,pat	0.9500	0.0000	0.9279	0.0000	0.9912	1.0000	0.9870	1.0000
TIGR00115	tig	TIGR_TIGR00115	bac120	tig	410	85.43	89.39			bac	0.9333	0.0000	0.7615	0.0067	0.9799	1.0000	0.9895	1.0000
TIGR02012	tigrfam_recA	TIGR_TIGR02012	bac120	tigrfam_recA	321	89.13	94.08			bac,pat	0.9771	0.0034	0.9639	0.0033	0.9488	1.0000	0.9854	1.0000
TIGR01052	top6b	TIGR_TIGR01052	ar53	top6b	488			81.48	86.41	ar,dpann	0.0583	0.9463	0.0020	0.9600	1.0000	0.9468	1.0000	0.9861
TIGR00088	trmD	TIGR_TIGR00088	bac120	trmD	233	92.73	94.92			bac,pat	0.9729	0.0000	0.9399	0.0000	0.9850	1.0000	0.9808	1.0000
TIGR00420	trmU	TIGR_TIGR00420	bac120	trmU	351	88.95	91.21			bac,pat	0.9604	0.0067	0.8878	0.0600	0.9740	1.0000	0.9819	1.0000
